"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0103639","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Aladdin","Feature Film","Ron Clements, John Musker","","8.0","90","1992","animation, adventure, comedy, family, fantasy, musical, romance","223590","1992-11-11","http://www.imdb.com/title/tt0103639/"
"2","tt0285333","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Alias","TV Series","","","7.6","42","2001","action, drama, mystery, sci_fi, thriller","34691","2001-09-09","http://www.imdb.com/title/tt0285333/"
"3","tt0147746","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Batman Beyond","TV Series","","","8.1","23","1999","adventure, animation, action, crime, mystery, sci_fi, drama, thriller","14938","1999-01-10","http://www.imdb.com/title/tt0147746/"
"4","tt0407362","Mon Jan 14 13:56:01 2013","Mon Jan 14 13:56:01 2013","","Battlestar Galactica","TV Series","","","8.8","44","2004","action, adventure, drama, sci_fi","106078","2004-10-18","http://www.imdb.com/title/tt0407362/"
"5","tt0397892","Wed Sep 21 19:58:13 2011","Wed Sep 21 19:58:13 2011","","Bolt","Feature Film","Byron Howard, Chris Williams","","6.9","96","2008","animation, adventure, comedy, family","128748","2008-11-17","http://www.imdb.com/title/tt0397892/"
"6","tt0105958","Wed Sep 21 20:21:08 2011","Wed Sep 21 20:21:08 2011","","Boy Meets World","TV Series","","","8.1","30","1993","comedy, drama, family","29359","1993-09-24","http://www.imdb.com/title/tt0105958/"
"7","tt0317219","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Cars","Feature Film","John Lasseter, Joe Ranft","","7.2","117","2006","animation, adventure, comedy, family, sport","217536","2006-03-14","http://www.imdb.com/title/tt0317219/"
"8","tt0381061","Sat May 26 09:58:38 2012","Sat May 26 09:58:38 2012","","Casino Royale","Feature Film","Martin Campbell","","8.0","144","2006","action, adventure, thriller","400603","2006-11-14","http://www.imdb.com/title/tt0381061/"
"9","tt0096557","Wed Sep 21 20:13:58 2011","Wed Sep 21 20:13:58 2011","","Chip 'n' Dale Rescue Rangers","TV Series","","","7.7","30","1989","animation, adventure, comedy, family, mystery","9019","1989-03-05","http://www.imdb.com/title/tt0096557/"
"10","tt0480242","Mon Jan 14 14:10:23 2013","Mon Jan 14 14:10:23 2013","","Dan in Real Life","Feature Film","Peter Hedges","","6.8","98","2007","comedy, drama, romance","82041","2007-10-26","http://www.imdb.com/title/tt0480242/"
"11","tt0092345","Wed Sep 21 20:14:19 2011","Wed Sep 21 20:14:19 2011","","DuckTales","TV Series","","","8.1","23","1987","animation, adventure, comedy, family","17628","1987-09-18","http://www.imdb.com/title/tt0092345/"
"12","tt0385700","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Final Fantasy VII: Advent Children","Feature Film","Tetsuya Nomura, Takeshi Nozue","","7.4","101","2005","animation, action, adventure, sci_fi, thriller","46010","2005-08-31","http://www.imdb.com/title/tt0385700/"
"13","tt0266543","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Finding Nemo","Feature Film","Andrew Stanton, Lee Unkrich","","8.2","100","2003","animation, adventure, comedy, family","572453","2003-05-30","http://www.imdb.com/title/tt0266543/"
"14","tt0113189","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","GoldenEye","Feature Film","Martin Campbell","","7.2","130","1995","action, adventure, thriller","179422","1995-11-13","http://www.imdb.com/title/tt0113189/"
"15","tt0299977","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Hero","Feature Film","Yimou Zhang","","7.9","99","2002","action, adventure, history","139872","2002-10-24","http://www.imdb.com/title/tt0299977/"
"16","tt0386588","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Hitch","Feature Film","Andy Tennant","","6.7","118","2005","comedy, romance","223692","2005-02-10","http://www.imdb.com/title/tt0386588/"
"17","tt0101120","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Home Improvement","TV Series","Andy Morris","","7.2","30","1991","comedy, family","27546","1991-09-17","http://www.imdb.com/title/tt0101120/"
"18","tt0102057","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Hook","Feature Film","Steven Spielberg","","6.7","142","1991","adventure, comedy, family, fantasy","164427","1991-12-08","http://www.imdb.com/title/tt0102057/"
"19","tt0441773","Mon Jan 14 14:00:46 2013","Mon Jan 14 14:00:46 2013","","Kung Fu Panda","Feature Film","Mark Osborne, John Stevenson","","7.6","92","2008","animation, action, adventure, comedy, family","258664","2008-05-15","http://www.imdb.com/title/tt0441773/"
"20","tt1302011","Mon Jan 14 14:00:58 2013","Mon Jan 14 14:00:58 2013","","Kung Fu Panda 2","Feature Film","Jennifer Yuh Nelson","","7.3","91","2011","animation, action, adventure, comedy, drama, family","148346","2011-05-22","http://www.imdb.com/title/tt1302011/"
"21","tt0120755","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Mission: Impossible II","Feature Film","John Woo","","6.0","123","2000","action, adventure, thriller","208658","2000-05-24","http://www.imdb.com/title/tt0120755/"
"22","tt0317919","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Mission: Impossible III","Feature Film","J.J. Abrams","","6.8","126","2006","action, adventure, thriller","220824","2006-04-24","http://www.imdb.com/title/tt0317919/"
"23","tt0368891","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","National Treasure","Feature Film","Jon Turteltaub","","6.9","131","2004","action, adventure, mystery, thriller","232060","2004-11-08","http://www.imdb.com/title/tt0368891/"
"24","tt0465234","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","National Treasure: Book of Secrets","Feature Film","Jon Turteltaub","","6.5","124","2007","action, adventure, mystery, thriller","164375","2007-12-13","http://www.imdb.com/title/tt0465234/"
"25","tt0356910","Sat Mar 26 12:00:00 2011","Wed Aug 10 23:24:13 2011","","Mr. & Mrs. Smith","Feature Film","Doug Liman","","6.5","120","2005","action, comedy, crime, romance, thriller","299735","2005-06-07","http://www.imdb.com/title/tt0356910/"
"26","tt0414387","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Pride & Prejudice","Feature Film","Joe Wright","","7.8","129","2005","drama, romance","170945","2005-07-25","http://www.imdb.com/title/tt0414387/"
"27","tt0830515","Sat May 26 09:58:51 2012","Sat May 26 09:58:51 2012","","Quantum of Solace","Feature Film","Marc Forster","","6.7","106","2008","action, adventure","280749","2008-10-29","http://www.imdb.com/title/tt0830515/"
"28","tt0944835","Wed Sep 21 19:49:40 2011","Wed Sep 21 19:49:40 2011","","Salt","Feature Film","Phillip Noyce","","6.4","100","2010","action, crime, mystery, thriller","224029","2010-07-19","http://www.imdb.com/title/tt0944835/"
"29","tt0279600","Mon Jan 14 13:55:25 2013","Mon Jan 14 13:55:25 2013","","Smallville","TV Series","","","7.5","60","2001","adventure, drama, romance, sci_fi","87954","2001-05-16","http://www.imdb.com/title/tt0279600/"
"30","tt0126029","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Shrek","Feature Film","Andrew Adamson, Vicky Jenson","","7.9","90","2001","animation, adventure, comedy, family, fantasy","407231","2001-04-22","http://www.imdb.com/title/tt0126029/"
"31","tt0097576","Mon Jan 14 14:05:00 2013","Mon Jan 14 14:05:00 2013","","Indiana Jones and the Last Crusade","Feature Film","Steven Spielberg","","8.3","127","1989","action, adventure","442994","1989-05-24","http://www.imdb.com/title/tt0097576/"
"32","tt0082971","Mon Jan 14 14:06:56 2013","Mon Jan 14 14:06:56 2013","","Raiders of the Lost Ark","Feature Film","Steven Spielberg","","8.6","115","1981","action, adventure","572269","1981-06-12","http://www.imdb.com/title/tt0082971/"
"33","tt0098924","Wed Sep 21 20:14:32 2011","Wed Sep 21 20:14:32 2011","","TaleSpin","TV Series","","","7.7","30","1990","animation, action, adventure, comedy, drama, family, fantasy, mystery","7359","1990-09-07","http://www.imdb.com/title/tt0098924/"
"34","tt0096754","Wed Sep 21 20:25:30 2011","Wed Sep 21 20:25:30 2011","","The Abyss","Feature Film","James Cameron","","7.6","139","1989","adventure, drama, sci_fi, thriller","119746","1989-08-09","http://www.imdb.com/title/tt0096754/"
"35","tt0848228","Mon Jan 14 13:54:20 2013","Mon Jan 14 13:54:20 2013","","The Avengers","Feature Film","Joss Whedon","","8.2","143","2012","action, adventure, sci_fi","836399","2012-04-11","http://www.imdb.com/title/tt0848228/"
"36","tt0468569","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Dark Knight","Feature Film","Christopher Nolan","","9.0","152","2008","action, crime, drama","1437009","2008-07-14","http://www.imdb.com/title/tt0468569/"
"37","tt0120737","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Lord of the Rings: The Fellowship of the Ring","Feature Film","Peter Jackson","","8.8","178","2001","adventure, fantasy","1075376","2001-12-10","http://www.imdb.com/title/tt0120737/"
"38","tt0167260","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Lord of the Rings: The Return of the King","Feature Film","Peter Jackson","","8.9","201","2003","adventure, fantasy","1049919","2003-12-01","http://www.imdb.com/title/tt0167260/"
"39","tt0167261","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Lord of the Rings: The Two Towers","Feature Film","Peter Jackson","","8.7","179","2002","adventure, fantasy","945394","2002-12-05","http://www.imdb.com/title/tt0167261/"
"40","tt0317705","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Incredibles","Feature Film","Brad Bird","","8.0","115","2004","animation, action, adventure, family","410698","2004-10-27","http://www.imdb.com/title/tt0317705/"
"41","tt0120746","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Mask of Zorro","Feature Film","Martin Campbell","","6.7","136","1998","action, adventure, comedy, romance, thriller, western","121967","1998-07-17","http://www.imdb.com/title/tt0120746/"
"42","tt0133093","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Matrix","Feature Film","The Wachowski Brothers, The Wachowski Brothers","","8.7","136","1999","action, sci_fi","1047220","1999-03-31","http://www.imdb.com/title/tt0133093/"
"43","tt0234215","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Matrix Reloaded","Feature Film","The Wachowski Brothers, The Wachowski Brothers","","7.2","138","2003","action, sci_fi","386167","2003-05-07","http://www.imdb.com/title/tt0234215/"
"44","tt0242653","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Matrix Revolutions","Feature Film","The Wachowski Brothers, The Wachowski Brothers","","6.7","129","2003","action, sci_fi","332912","2003-10-27","http://www.imdb.com/title/tt0242653/"
"45","tt0115320","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Pretender","TV Series","Frederick King Keller, Steven Long Mitchell","","7.5","60","1996","drama, sci_fi, mystery, thriller","11944","1996-09-19","http://www.imdb.com/title/tt0115320/"
"46","tt0093779","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","The Princess Bride","Feature Film","Rob Reiner","","8.2","98","1987","adventure, comedy, family, fantasy, romance","259538","1987-09-18","http://www.imdb.com/title/tt0093779/"
"47","tt0292506","Wed Sep 21 19:49:13 2011","Wed Sep 21 19:49:13 2011","","The Recruit","Feature Film","Roger Donaldson","","6.6","115","2003","action, crime, drama, thriller","104991","2003-01-25","http://www.imdb.com/title/tt0292506/"
"48","tt0120347","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","Tomorrow Never Dies","Feature Film","Roger Spottiswoode","","6.5","119","1997","action, adventure, thriller","134108","1997-12-09","http://www.imdb.com/title/tt0120347/"
"49","tt1049413","Wed Sep 21 20:07:43 2011","Wed Sep 21 20:07:43 2011","","Up","Feature Film","Pete Docter, Bob Peterson","","8.3","96","2009","animation, adventure, comedy, family","546333","2009-05-13","http://www.imdb.com/title/tt1049413/"
"50","tt0295701","Fri Jun 12 12:00:00 2009","Wed Aug 10 23:24:13 2011","","xXx","Feature Film","Rob Cohen","","5.8","124","2002","action, adventure, thriller","131359","2002-08-09","http://www.imdb.com/title/tt0295701/"
